Particulars,Links
Motion Graphic, 03 - D4.mp4
, 02 - starbucksLogo.mp4
, 06 - Badmaash LA 2.mp4
, 08 - Chaar Diwaari.mp4
,  13 - Hotlist
, HSBCv2.mp4
Visuals / 3D / Animation, 05 - Render 06.mp4
, ISC Home Loop Light.mov
, 03 - Divine Gandhi Money - RL Logo.mp4
, 04 - Merch Main.mp4
, Main Scavenger Hunt.mp4
Samay Raina (Brand Reel),https://www.instagram.com/p/DLzwCLPCRzS/
Uorfi Javed (Brand Reels),https://www.instagram.com/p/DF1v6VrtsAY/
,https://www.instagram.com/p/DJmKjLWNf28/
,https://www.instagram.com/p/DKZpF8ONbpx/
,https://www.instagram.com/p/DMxYfwFNqJK/
,https://www.instagram.com/p/DNVhSG6S3M-/
,https://www.instagram.com/p/DNnXdKEtIea/
,https://www.instagram.com/p/DOij00UEu03/
Santanu Hazarika (Brand Reels),https://www.instagram.com/p/DGVWzIwI4Ns/
,https://www.instagram.com/p/DGe1Bk6IZYO/?img_index=1
,https://www.instagram.com/p/DOakmKEksgJ/
,https://www.instagram.com/p/DPGvEcyEh8y/
NPCI (Podcasts),https://youtu.be/KHl8rzSUGWk?si=beONzBbxknmKJ4Iy
,https://youtu.be/lwl5v5K_Vco?si=rqbPh7b_AFNHKyNs
,https://youtu.be/osuR5mV8QGI?si=Vces2L2Lfo_vaUF3
,https://youtu.be/iqIlbXxfV5g?si=P2o9zqHbjowIZfv4
TATA AIA (Podcasts),https://youtu.be/pXotTJIzbXw?si=aYOkESV7yCDPTeip
,https://youtu.be/5ORdSPEHvjI?si=GZzfkGRoNdNVzG2Y
,https://youtu.be/EW76GrxnQU4?si=fhAf3Ekkh84Fem6a
Parachute (Influencer Holi Reel),https://youtu.be/ECkslerq9Rk?feature=shared
Complan (Product Commercial),https://www.youtube.com/watch?v=df9Pco1Xuow
Pilsbury (Product Reels),Pillsbury Recipe Videos
